Date,Country,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Revenue,Total Cost,ROI,ARPU,Average eCPI,af_login (Unique users),af_login (Event counter),af_login (Sales in USD),af_purchase (Unique users),af_purchase (Event counter),af_purchase (Sales in USD),le_usercharactercreate (Unique users),le_usercharactercreate (Event counter),le_usercharactercreate (Sales in USD),le_usercharacterlevelup (Unique users),le_usercharacterlevelup (Event counter),le_usercharacterlevelup (Sales in USD)
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-TW_Android_LAL(All)_0408_SET_2_0,N/A,N/A,N/A,3,N/A,61,3,1.0000,0.0000,N/A,N/A,0.0000,N/A,3,31,0.0,0,0,0.0,3,3,0.0,3,53,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408_AudienceNetwork-Android(TW)_MUA001_18歲-45歲(全)_名單(2-5)_AudienceNetwork,N/A,N/A,N/A,2,N/A,11,2,1.0000,0.0000,N/A,N/A,0.0000,N/A,2,5,0.0,0,0,0.0,2,2,0.0,2,31,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408_AudienceNetwork-Android(TW)_素材A001_18歲-45歲(全)_名單(2-1)_AudienceNetwork,N/A,N/A,N/A,5,N/A,46,3,0.6000,0.0000,N/A,N/A,0.0000,N/A,5,18,0.0,0,0,0.0,5,5,0.0,5,52,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_(全)_興趣手遊_AD_1,N/A,N/A,N/A,1,N/A,2,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,1,1,0.0,0,0,0.0,1,1,0.0,1,2,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_(全)_興趣手遊_AD_2,N/A,N/A,N/A,8,N/A,32,3,0.3750,0.0000,N/A,N/A,0.0000,N/A,8,18,0.0,0,0,0.0,8,8,0.0,8,47,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_(全)_興趣手遊_AD_3,N/A,N/A,N/A,2,N/A,4,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,2,3,0.0,0,0,0.0,2,2,0.0,2,13,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_(全)_興趣手遊_SET_1_1,N/A,N/A,N/A,1,N/A,3,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,1,1,0.0,0,0,0.0,1,1,0.0,0,0,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_素材A001_18歲-45歲(女)_興趣手遊(2-1),N/A,N/A,N/A,1,N/A,2,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,1,1,0.0,0,0,0.0,1,1,0.0,1,2,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_素材A001_18歲-45歲(男)_興趣手遊,N/A,N/A,N/A,1,N/A,10,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,5,0.0,0,0,0.0,1,1,0.0,1,10,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_素材A001_18歲-45歲(男)_興趣手遊(1-1),N/A,N/A,N/A,1,N/A,2,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,1,1,0.0,0,0,0.0,1,1,0.0,1,7,0.0
