Country,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Revenue,Total Cost,ROI,ARPU,Average eCPI,af_login (Unique users),af_login (Event counter),af_login (Sales in USD),le_usercharactercreate (Unique users),le_usercharactercreate (Event counter),le_usercharactercreate (Sales in USD),le_usercharacterlevelup (Unique users),le_usercharacterlevelup (Event counter),le_usercharacterlevelup (Sales in USD)
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-TW_Android_LAL(All)_0408_SET_1_1,N/A,N/A,N/A,2,N/A,28,2,1.0000,0.0000,N/A,N/A,0.0000,N/A,2,16,0.0,2,2,0.0,2,33,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-TW_Android_LAL(All)_0408_SET_2_0,N/A,N/A,N/A,4,N/A,62,3,0.7500,0.0000,N/A,N/A,0.0000,N/A,4,32,0.0,4,4,0.0,4,57,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408_AudienceNetwork-Android(TW)_MUA001_18歲-45歲(全)_名單(2-5)_AudienceNetwork,N/A,N/A,N/A,3,N/A,13,2,0.6667,0.0000,N/A,N/A,0.0000,N/A,3,6,0.0,3,3,0.0,3,33,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408_AudienceNetwork-Android(TW)_素材A001_18歲-45歲(全)_LL(1-1)_AudienceNetwork,N/A,N/A,N/A,2,N/A,13,1,0.5000,0.0000,N/A,N/A,0.0000,N/A,1,5,0.0,1,1,0.0,1,12,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408_AudienceNetwork-Android(TW)_素材A001_18歲-45歲(全)_名單(2-1)_AudienceNetwork,N/A,N/A,N/A,6,N/A,50,4,0.6667,0.0000,N/A,N/A,0.0000,N/A,6,20,0.0,6,6,0.0,6,60,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408_AudienceNetwork-Android(TW)_素材B001_18歲-45歲(全)_LL(1-3)_AudienceNetwork,N/A,N/A,N/A,1,N/A,2,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,1,1,0.0,1,1,0.0,1,2,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408_AudienceNetwork-Android(TW)_素材B001_18歲-45歲(全)_名單(2-3)_AudienceNetwork,N/A,N/A,N/A,1,N/A,3,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,1,1,0.0,1,1,0.0,1,2,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_(全)_興趣手遊_AD_1,N/A,N/A,N/A,6,N/A,13,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,6,6,0.0,6,6,0.0,4,18,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_(全)_興趣手遊_AD_2,N/A,N/A,N/A,19,N/A,86,8,0.4211,0.0000,N/A,N/A,0.0000,N/A,18,46,0.0,18,18,0.0,18,134,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_(全)_興趣手遊_AD_3,N/A,N/A,N/A,3,N/A,8,1,0.3333,0.0000,N/A,N/A,0.0000,N/A,3,4,0.0,2,2,0.0,2,13,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_(全)_興趣手遊_SET_1_1,N/A,N/A,N/A,1,N/A,3,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,1,1,0.0,1,1,0.0,0,0,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_素材A001_18歲-45歲(女)_興趣手遊(2-1),N/A,N/A,N/A,1,N/A,2,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,1,1,0.0,1,1,0.0,1,2,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_素材A001_18歲-45歲(男)_興趣手遊,N/A,N/A,N/A,19,N/A,120,10,0.5263,0.0000,N/A,N/A,0.0000,N/A,18,43,0.0,18,18,0.0,18,134,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_素材A001_18歲-45歲(男)_興趣手遊(1-1),N/A,N/A,N/A,3,N/A,6,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,3,3,0.0,3,3,0.0,3,25,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_素材A002_18歲-45歲(女)_興趣手遊(2-2),N/A,N/A,N/A,4,N/A,16,2,0.5000,0.0000,N/A,N/A,0.0000,N/A,4,9,0.0,4,4,0.0,4,31,0.0
